scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-05-22,AVGO,A,HTF,228.6771,234.5992,2.52,6.3,6,0.595,59.03,28,19.87,16.9,45.2,7.95,-0.79,5.01,7.11,10.34,13.25,True
2025-05-23,NRG,A,HTF,156.0352,159.9505,2.45,5.81,6,,91.18,29,44.89,49.9,56.62,2.45,-0.58,0.42,-1.76,-2.62,2.04,False
2025-05-26,NRG,A,HTF,156.0352,159.9505,2.45,5.81,6,,91.18,29,44.89,49.9,56.62,2.45,-0.58,0.42,-1.76,-2.62,2.04,False
2025-05-27,NRG,A,HTF,155.1355,159.9505,3.01,5.81,6,,93.63,30,43.84,57.15,59.18,3.01,-0.54,2.63,-5.25,-2.29,2.63,False
2025-05-28,NRG,A,HTF,154.2952,159.9505,3.54,5.81,7,,93.63,30,42.99,56.3,58.78,3.54,-1.02,0.58,-4.48,3.51,3.51,False
2025-05-29,NRG,A,HTF,152.7231,159.9505,4.52,5.81,8,,93.63,30,35.33,57.12,54.33,4.52,0.93,1.01,-2.25,5.31,5.31,False
2025-05-30,NRG,A,HTF,154.137,159.9505,3.63,5.81,9,,93.63,30,33.66,71.75,55.22,3.63,1.66,0.03,-2.48,3.0,4.34,False
2025-06-02,NRG,A,HTF,156.6977,159.9505,2.03,5.81,10,,93.63,30,36.36,80.64,61.01,2.03,1.61,-2.17,-2.87,-1.6,2.64,False
2025-06-03,NRG,A,HTF,159.2188,160.4942,0.79,6.13,11,,93.63,30,37.63,90.63,69.03,0.79,-2.53,-7.68,-5.56,-3.42,1.01,False
2025-06-04,CVNA,A,HTF,69.128,69.462,0.48,9.88,6,0.751,97.03,36,33.36,100.7,46.14,0.48,-0.68,-1.54,-10.92,0.78,0.78,False
2025-06-04,NRG,A,HTF,155.1949,160.4942,3.3,6.13,12,,93.63,30,32.27,77.84,68.87,3.3,-0.6,-5.03,-2.76,0.9,3.63,False
2025-06-05,NRG,A,HTF,154.2655,160.4942,3.88,6.13,13,,93.63,30,29.66,69.42,64.78,3.88,-0.06,-3.22,-2.63,1.7,4.26,False
2025-06-06,NRG,A,HTF,154.1765,160.4942,3.94,6.13,14,,93.63,30,30.68,72.2,65.28,3.94,-0.57,-2.5,-2.49,-2.99,4.32,False
2025-06-09,CVNA,A,HTF,67.982,70.286,3.28,9.97,6,0.781,103.88,39,21.56,87.61,36.92,3.28,-0.41,-14.67,-4.98,3.29,5.12,False
2025-06-10,CVNA,A,HTF,67.7,70.286,3.68,6.38,6,0.736,109.21,40,15.51,81.5,32.35,3.68,0.54,-13.15,-6.72,2.08,5.56,False
2025-06-11,CVNA,A,HTF,68.064,70.286,3.16,6.38,6,0.694,112.61,41,11.39,104.37,34.14,3.16,-6.28,-9.52,-9.94,0.98,5.0,False
2025-06-16,STX,A,HTF,129.3726,130.5474,0.9,5.75,6,,95.63,42,20.18,48.45,51.32,0.9,-0.13,4.02,11.27,12.87,16.57,True
