scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-11-17,ABVX,C,Pennant,113.62,116.43,2.41,13.68,6,,53.89,58,23.94,46.68,1788.94,2.41,0.18,10.64,1.06,-2.32,17.14,True
2025-11-17,AMRX,C,HTF,11.58,12.12,4.46,6.81,8,,25.92,57,12.54,24.78,58.63,4.46,-0.09,4.92,3.63,5.09,8.12,True
2025-11-17,ANDE,C,Pennant,48.7095,51.5508,5.51,13.99,17,0.8,37.43,57,7.76,19.36,38.6,5.51,2.14,2.3,7.36,12.36,14.93,False
2025-11-17,ARQT,C,FlatBase,26.17,26.815,2.41,16.99,12,,79.25,60,26.79,66.79,91.44,3.36,4.24,17.54,12.46,9.02,19.22,True
2025-11-17,ATEC,B,HTF,19.87,21.16,6.1,8.22,6,,54.03,21,28.19,25.44,59.47,6.1,0.3,3.82,6.54,-0.55,13.69,False
2025-11-17,AUPH,C,HTF,15.49,15.98,3.07,8.95,6,,34.75,29,30.83,27.65,93.87,4.38,0.06,4.0,2.71,2.32,5.68,True
2025-11-17,AXGN,A,HTF,23.57,24.92,5.42,8.03,10,0.726,69.66,60,34.76,59.36,116.24,5.42,1.87,20.45,17.48,24.52,41.37,True
2025-11-17,AXSM,C,FlatBase,145.56,146.68,0.76,15.8,11,,30.58,59,10.78,25.15,39.11,0.76,1.32,3.87,-2.38,0.9,4.08,True
2025-11-17,BBIO,C,Pennant,66.9,69.48,3.71,13.33,14,,48.67,59,23.07,41.47,100.48,3.71,-1.96,6.11,6.82,13.14,13.14,True
2025-11-17,COKE,C,FlatBase,159.1769,161.9487,1.71,15.67,6,,30.25,37,20.44,37.22,40.65,1.71,1.18,1.32,1.81,2.08,5.28,True
2025-11-17,COLL,C,Pennant,45.34,48.18,5.89,12.87,6,,35.86,20,28.22,16.95,55.38,5.89,0.0,0.52,4.79,7.43,8.09,False
2025-11-17,CSTL,B,HTF,33.95,35.49,4.34,8.4,6,,75.63,57,45.09,65.05,112.85,4.34,-1.18,13.37,15.17,15.02,17.67,True
2025-11-17,CYTK,C,Pennant,66.95,67.98,1.52,14.61,12,,91.36,58,15.87,80.9,113.76,1.52,-1.18,0.39,-5.14,-7.36,1.79,False
2025-11-17,ESTA,B,HTF,65.84,69.0,4.58,9.97,6,,83.74,40,33.47,61.93,89.85,4.58,-1.93,5.01,2.49,12.62,12.62,True
2025-11-17,GALT,C,FlatBase,6.0,6.25,4.0,19.2,11,,68.07,55,13.21,50.0,383.87,8.4,3.17,-8.17,-9.0,3.33,8.5,False
2025-11-17,GGLL,C,Pennant,81.5661,86.4992,5.7,14.91,6,,103.53,57,27.68,79.11,154.46,5.7,-0.53,24.0,21.36,13.86,27.65,True
2025-11-17,GH,C,Pennant,96.48,101.57,5.01,13.14,13,,107.24,60,42.91,55.91,150.27,5.01,-0.94,15.31,7.66,3.65,15.31,True
2025-11-17,GLUE,B,FlatBase,13.61,14.619,6.9,15.18,6,0.712,219.55,58,41.92,196.51,221.75,6.9,1.25,15.8,13.23,37.11,37.11,True
2025-11-17,GPCR,C,FlatBase,37.44,38.045,1.59,18.66,12,,105.68,60,39.08,101.62,66.99,2.7,-7.85,-5.72,-14.21,64.82,86.91,False
2025-11-17,GTX,B,HTF,16.316,17.5927,7.26,7.48,7,,40.51,19,31.47,25.18,55.72,8.07,1.03,-1.4,0.49,2.87,4.33,False
2025-11-17,HAL,B,HTF,26.3243,28.3416,7.12,7.85,14,0.727,35.06,56,5.47,20.06,34.69,15.92,0.64,-3.57,1.09,2.79,10.09,False
2025-11-17,IDYA,C,FlatBase,33.34,34.61,3.67,16.67,15,0.791,48.1,57,14.18,34.93,66.28,3.67,1.11,3.99,1.05,1.41,8.01,True
2025-11-17,IMPP,C,Pennant,6.1,6.4,4.69,14.06,6,,99.33,60,20.79,90.62,114.79,4.69,2.13,4.1,-31.48,-34.59,4.1,False
2025-11-17,IMVT,C,FlatBase,24.3,26.17,7.15,18.11,13,,68.96,43,26.37,63.2,63.2,17.6,-2.51,-4.03,-9.38,9.51,9.51,False
2025-11-17,INCY,C,HTF,104.17,109.28,4.68,8.47,10,,29.97,60,19.32,22.9,57.74,4.68,-0.27,1.99,-2.62,-6.85,1.99,False
2025-11-17,INSM,C,FlatBase,197.4,197.88,0.24,15.61,13,,77.69,59,19.41,53.83,185.22,0.24,2.14,4.83,4.66,1.66,7.1,True
2025-11-17,KNSA,C,FlatBase,41.4,42.05,1.55,16.29,19,,29.41,59,6.56,25.3,52.32,1.55,-0.29,1.38,-3.21,-0.07,3.16,True
2025-11-17,KRYS,B,HTF,208.25,212.98,2.22,9.61,10,,47.87,39,9.16,41.89,65.79,2.22,-1.69,3.19,3.27,14.55,18.5,True
2025-11-17,KYMR,C,FlatBase,64.1,68.455,6.36,18.69,15,,64.41,55,9.91,53.28,111.9,6.36,0.33,2.32,0.27,31.34,47.11,False
2025-11-17,LLY,C,Pennant,1018.2448,1030.1244,1.15,12.97,9,,45.1,60,27.97,47.15,41.92,1.15,0.82,4.74,2.39,3.19,8.64,True
2025-11-17,LVS,B,HTF,64.1699,67.0876,4.35,5.6,6,,42.89,20,28.69,15.87,58.8,4.35,-0.15,1.22,5.59,3.76,7.11,False
2025-11-17,MBX,A,FlatBase,25.61,26.65,3.9,17.82,7,0.425,162.39,38,67.28,84.38,101.34,3.9,2.93,21.98,29.48,8.36,34.67,True
2025-11-17,MEDP,B,VCP,585.76,614.04,4.61,7.0,17,0.832,43.04,59,7.35,25.48,97.19,6.28,0.75,5.59,-0.35,-4.61,5.59,True
2025-11-17,MU,B,Pennant,241.7507,260.3654,7.15,11.67,6,,118.9,56,19.61,107.96,150.34,7.15,-5.56,-7.45,-1.02,-3.9,8.99,False
2025-11-17,NAMS,C,FlatBase,38.56,40.99,5.93,15.83,18,,70.51,58,5.7,56.11,118.72,7.02,0.91,1.95,-0.6,-11.26,7.49,False
2025-11-17,NESR,C,FlatBase,13.92,14.5,4.0,18.33,14,,114.45,59,20.1,61.67,117.16,4.0,2.37,2.87,0.14,3.88,7.4,False
2025-11-17,NTRA,C,Pennant,206.04,212.21,2.91,14.14,18,,45.89,59,10.25,26.82,30.36,2.91,3.69,15.79,14.85,10.37,18.69,True
2025-11-17,PAHC,C,Pennant,44.8349,46.1881,2.93,13.81,17,,62.65,59,8.71,41.54,84.23,2.93,-3.73,-4.39,-9.48,-10.1,-1.62,False
2025-11-17,PTCT,C,Pennant,75.6,77.43,2.36,12.6,9,,58.54,60,12.55,53.35,54.63,2.36,1.44,5.6,3.83,-0.24,14.09,True
2025-11-17,PTGX,C,Pennant,84.77,86.9,2.45,13.19,12,0.751,54.28,60,13.03,49.03,78.16,9.09,-0.45,3.44,-0.14,7.99,12.48,True
2025-11-17,ROIV,A,HTF,20.56,21.35,3.7,7.31,6,,81.87,54,15.05,76.63,81.95,3.7,-0.19,-1.26,-2.24,11.58,11.58,False
2025-11-17,RVMD,B,Pennant,69.14,69.505,0.53,11.52,6,,75.86,54,29.26,93.83,76.9,0.53,2.08,6.54,8.92,12.18,15.79,True
2025-11-17,SHOO,C,FlatBase,36.5783,39.427,7.23,19.09,17,,52.5,59,5.69,32.81,47.98,18.74,0.51,9.92,12.76,18.83,20.17,True
2025-11-17,SNDK,C,FlatBase,265.88,284.76,6.63,17.78,6,,503.49,57,78.1,468.36,588.81,6.63,-7.88,-14.64,-22.77,-21.28,-7.49,False
2025-11-17,TCMD,B,HTF,23.44,25.415,7.77,9.66,7,,100.81,60,58.81,80.31,136.77,7.77,-1.07,9.09,11.56,23.51,23.51,True
2025-11-17,TIGO,C,FlatBase,51.4472,51.5337,0.17,16.3,16,,29.15,57,15.34,16.77,54.4,0.17,4.8,-0.11,-1.76,-0.35,4.8,True
2025-11-17,TRVI,B,Pennant,11.35,12.3,7.72,10.65,6,,66.48,46,6.57,55.91,78.46,7.72,-0.35,0.53,17.62,9.34,24.85,False
2025-11-17,TVTX,C,FlatBase,35.44,36.755,3.58,15.88,12,,107.92,60,27.48,105.69,130.43,3.58,1.58,0.99,-4.09,1.16,2.31,False
2025-11-17,UPB,C,FlatBase,25.7,26.25,2.1,16.27,12,,63.19,60,15.09,53.62,174.87,4.46,-0.54,1.36,-2.68,14.09,14.09,False
2025-11-17,UTHR,C,Pennant,471.92,479.5,1.58,14.69,18,0.839,55.15,59,11.69,54.54,47.3,1.58,0.99,1.12,0.47,5.95,6.01,False
2025-11-17,VLO,C,VCP,176.2044,181.6664,3.01,10.26,16,,32.31,54,13.13,21.27,39.25,3.01,3.94,-1.64,0.7,-8.16,3.94,True
2025-11-17,VRDN,B,HTF,29.0,29.584,1.97,7.96,6,,55.25,58,20.73,56.17,107.59,1.97,-1.41,10.45,4.93,13.28,13.9,True
2025-11-17,WBD,A,HTF,22.74,23.19,1.94,5.69,10,,109.65,60,11.85,88.87,126.49,1.94,4.18,0.53,7.87,27.09,31.84,True
2025-11-18,AAPU,B,HTF,32.7441,35.2765,7.18,8.66,15,,70.49,60,6.58,31.92,66.81,11.94,0.82,6.91,12.14,2.32,13.96,False
2025-11-18,ABVX,C,Pennant,113.83,116.43,2.23,13.68,6,,58.15,59,25.49,42.82,1790.86,2.23,-0.77,12.65,-2.55,-2.64,16.92,True
2025-11-18,AMRX,C,HTF,11.57,12.12,4.54,6.02,6,,29.05,60,10.93,23.35,58.06,4.54,-0.43,7.52,5.27,6.57,8.21,True
2025-11-18,ANDE,C,Pennant,49.7526,51.5508,3.49,13.99,18,0.788,37.43,57,9.11,24.26,42.48,3.49,-1.3,1.72,3.85,10.14,12.52,False
2025-11-18,APGE,C,FlatBase,63.91,67.57,5.42,16.35,6,,74.76,58,19.5,68.76,74.43,5.42,-0.13,10.97,16.65,18.13,20.61,True
2025-11-18,ARWR,C,Pennant,40.47,43.69,7.37,14.51,13,,163.95,60,7.55,91.08,151.84,7.37,-3.71,15.62,60.8,60.12,74.99,True
2025-11-18,ATEC,B,HTF,19.93,21.16,5.81,8.27,6,,57.69,22,27.19,24.17,60.34,5.81,-1.56,9.53,6.52,-1.81,13.35,True
2025-11-18,AUPH,B,HTF,15.5,15.98,3.0,7.7,6,,41.9,30,31.13,26.95,97.7,4.32,-1.94,5.03,-3.81,1.87,5.61,True
2025-11-18,AXGN,A,HTF,24.01,24.92,3.65,8.03,11,0.714,69.66,60,33.02,48.12,120.48,3.65,5.21,17.95,17.99,30.74,38.78,True
