scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-05-16,MOS,B,HTF,34.1584,34.2651,0.31,9.82,6,,43.54,22,29.45,37.94,37.49,0.31,0.4,-0.31,4.49,2.89,4.94,True
2025-05-16,UBER,C,Pennant,91.79,92.9,1.19,13.76,11,,30.71,60,25.88,16.35,31.81,1.19,0.73,-4.4,-8.88,-7.27,0.73,False
2025-05-19,MOS,B,HTF,34.2942,34.4106,0.34,8.15,6,,44.77,23,26.88,40.79,38.14,0.34,0.51,1.98,4.53,2.91,4.53,True
2025-05-19,NRG,C,FlatBase,159.4166,159.9505,0.33,15.35,6,,80.86,25,63.86,56.52,70.29,0.33,-0.97,-2.69,-0.12,-5.68,-0.12,False
2025-05-20,MOS,B,HTF,34.4688,34.886,1.2,8.06,6,,50.4,24,27.12,40.56,37.78,1.2,0.03,1.41,3.63,3.18,4.0,True
2025-05-20,NRG,B,HTF,157.8742,159.9505,1.3,8.58,6,,88.19,26,57.12,56.51,75.26,1.3,-2.64,-2.27,-1.7,-4.41,0.85,False
2025-05-21,MOS,B,HTF,34.4786,34.886,1.17,8.06,7,,50.4,24,22.85,42.22,42.33,1.17,-1.49,1.04,3.04,2.87,3.97,True
2025-05-21,NRG,B,HTF,153.7118,159.9505,3.9,8.58,7,,88.19,26,47.11,37.74,54.97,3.9,-0.12,-0.64,0.36,-2.28,3.58,False
2025-05-22,AVGO,A,HTF,228.6771,234.5992,2.52,6.3,6,0.595,59.03,28,19.87,16.9,45.2,7.95,-0.79,5.01,7.11,10.34,13.25,True
2025-05-22,NRG,B,HTF,153.5338,159.9505,4.01,8.58,8,,88.19,26,43.93,48.34,58.35,4.01,1.63,0.39,0.42,-2.09,3.7,False
2025-05-23,NRG,A,HTF,156.0352,159.9505,2.45,5.81,6,,91.18,29,44.89,49.9,56.62,2.45,-0.58,0.42,-1.76,-2.62,2.04,False
2025-05-26,NRG,A,HTF,156.0352,159.9505,2.45,5.81,6,,91.18,29,44.89,49.9,56.62,2.45,-0.58,0.42,-1.76,-2.62,2.04,False
2025-05-27,NRG,A,HTF,155.1355,159.9505,3.01,5.81,6,,93.63,30,43.84,57.15,59.18,3.01,-0.54,2.63,-5.25,-2.29,2.63,False
2025-05-28,AVGO,B,HTF,237.5056,239.0531,0.65,8.05,9,0.62,59.03,28,24.4,28.1,43.2,4.4,1.06,9.04,5.63,13.1,13.1,True
2025-05-28,NRG,A,HTF,154.2952,159.9505,3.54,5.81,7,,93.63,30,42.99,56.3,58.78,3.54,-1.02,0.58,-4.48,3.51,3.51,False
2025-05-29,NRG,A,HTF,152.7231,159.9505,4.52,5.81,8,,93.63,30,35.33,57.12,54.33,4.52,0.93,1.01,-2.25,5.31,5.31,False
2025-05-30,NRG,A,HTF,154.137,159.9505,3.63,5.81,9,,93.63,30,33.66,71.75,55.22,3.63,1.66,0.03,-2.48,3.0,4.34,False
2025-05-30,PLTR,B,VCP,131.78,133.49,1.28,10.55,12,,,,6.03,63.78,83.36,1.28,0.2,-3.08,4.26,3.45,9.46,False
2025-06-02,AVGO,B,VCP,246.711,247.9907,0.52,11.36,12,0.679,59.03,28,23.91,27.96,39.33,0.69,3.27,-1.78,1.36,6.7,11.09,True
2025-06-02,CVNA,B,Pennant,66.288,66.4,0.17,12.65,13,0.788,87.93,27,27.69,75.86,31.94,0.17,2.62,2.56,-12.49,2.06,4.28,True
2025-06-02,NRG,A,HTF,156.6977,159.9505,2.03,5.81,10,,93.63,30,36.36,80.64,61.01,2.03,1.61,-2.17,-2.87,-1.6,2.64,False
2025-06-03,AVGO,B,Pennant,254.7856,255.8073,0.4,10.37,6,,61.08,35,28.37,39.67,44.36,0.4,1.65,-4.76,-2.91,5.33,7.57,True
